0,ipo_date,ipo_price,ipo_amount,industry_pe,ipo_expense,ipo_subbydistr,undrtype,ipo_leadundr,ipo_auditor,ipo_date_pct,ipo_pct_5,ipo_pct_10,ipo_pct_15,ipo_pct_20,pe_ttm,pb_lf,ps_ttm,pcf_of
600339.SH,2000-12-25,7.28,60000000,0,13289800,0,余额包销,光大证券有限责任公司,新疆华西会计师事务所(有限公司),216.3461538,1.823708177,2.865827084,-0.564481139,-4.472427368,0,0,0,0
600340.SH,2003-12-30,7.3,40000000,0,17710180.08,464621,余额包销,联合证券有限责任公司,浙江天健会计师事务所有限公司,22.19178082,9.192825317,9.529148102,8.520179749,15.13452911,0,0,0,0
600343.SH,2003-04-08,3.68,65000000,0,10622280.18,537253,余额包销,中银国际证券有限责任公司,西安希格玛有限责任会计师事务所,227.9891304,1.491300702,5.633802891,-11.18475533,-9.279204369,0,0,0,0
600345.SH,2000-12-22,8.18,45000000,0,13500000,0,余额包销,中信证券股份有限公司,武汉众环会计师事务所有限公司,476.7726161,-1.780415416,5.65917778,-3.030945301,-12.88681602,0,0,0,0
600346.SH,2001-08-20,5.36,38500000,0,9150000,0,余额包销,国泰君安证券股份有限公司,大连信义会计师事务所有限公司,255.4104478,-9.028871536,-9.186351776,-6.824146748,-13.33333302,0,0,0,0
600348.SH,2003-08-21,8.2,150000000,0,47294000,1428440,余额包销,华夏证券股份有限公司,山西天元会计师事务所(有限公司),10.73170732,-4.07488966,-1.872246742,-5.286343575,-8.259911537,0,0,0,0
600350.SH,2002-03-18,2.6,505000000,0,38868580,0,余额包销,华夏证券有限公司,安达信·华强会计师事务所,73.84615385,10.84070778,5.752212524,5.973451138,4.646017551,0,0,0,0
600351.SH,2002-09-26,4.8,40000000,0,10166500,0,余额包销,南方证券股份有限公司,深圳大华天诚会计师事务所,223.9583333,-10.99678421,-12.21864986,-12.21864986,-14.46945381,0,0,0,0
600352.SH,2003-08-01,8.51,57000000,0,18594956.77,572618,余额包销,兴业证券股份有限公司,浙江天健会计师事务所有限公司,31.60987074,2.678571463,1.428571463,4.375,7.857142925,0,0,0,0
600353.SH,2002-11-20,7.8,30000000,0,10910000,270355,余额包销,广东证券股份有限公司,四川华信(集团)会计师事务所有限责任公司,117.0512821,-14.58948612,-13.23095131,-15.29828739,-14.82575321,0,0,0,0
600354.SH,2004-01-15,5.68,75000000,0,18770000,747795,余额包销,西南证券有限责任公司,五联联合会计师事务所有限公司,96.47887324,-8.960573196,-5.286738396,-5.645161152,-9.408601761,0,0,0,0
600355.SH,2002-06-13,16.18,31000000,0,24829770,570078,余额包销,国通证券股份有限公司,武汉众环会计师事务所有限责任公司,64.52410383,-4.057099819,4.169796944,4.733283043,5.822689533,0,0,0,0
600356.SH,2001-04-19,7.09,40000000,0,12800000,0,余额包销,中信证券股份有限公司,深圳中天会计师事务所,308.4626234,-10.0483427,-11.1187849,-9.530386925,-9.35773468,0,0,0,0
600358.SH,2000-09-22,5.86,50000000,0,13220000,0,余额包销,平安证券有限责任公司,深圳中天会计师事务所,188.3959044,-4.437870026,-5.739645004,-5.325443745,-0.41420117,0,0,0,0
600359.SH,1999-04-29,3.86,90000000,0,14500000,0,余额包销,申万宏源证券有限公司,深圳中诚会计师事务所,89.89637306,2.31923604,-6.821282387,16.64392853,24.14733887,0,0,0,0
600360.SH,2001-03-16,8.42,50000000,0,16000000,0,余额包销,南方证券有限公司,上海众华沪银会计师事务所有限公司,181.3539192,-0.886449993,3.46137619,5.276487827,5.867454529,0,0,0,0
600361.SH,2001-11-29,7.9,50000000,0,16680000,0,余额包销,兴业证券股份有限公司,北京京都会计师事务所有限责任公司,118.9873418,-2.427745581,-2.13872838,-11.32948017,-11.50289059,0,0,0,0
600362.SH,2002-01-11,2.27,230000000,0,28460000,0,余额包销,国信证券有限责任公司,沪江德勤会计师事务所,103.0837004,-4.77223444,1.735357881,3.68763566,2.169197321,0,0,0,0
600363.SH,2001-03-29,6.66,60000000,0,12380000,0,余额包销,南方证券有限公司,江西恒信会计师事务所有限责任公司,260.3603604,10.41666698,7,14.79166698,4.583333492,0,0,0,0
600365.SH,2001-01-15,7.08,60000000,0,14273800,0,余额包销,湘财证券有限责任公司,深圳中天会计师事务所,104.0960452,-4.705882549,-7.681661129,-8.096885681,-8.44290638,0,0,0,0
600366.SH,2000-10-30,10.37,35000000,0,14494300,0,0,海通证券有限公司,江苏天衡会计师事务所有限公司,161.1378978,1.550960064,2.104874372,-1.772525907,-4.357459545,0,0,0,0
600367.SH,2001-03-20,12.66,30000000,0,12510000,0,余额包销,中信证券股份有限公司,山东汇德会计师事务所,199.4470774,4.721709251,8.256396294,8.361909866,24.98021698,0,0,0,0
600368.SH,2000-12-21,5.48,80000000,0,14280000,0,余额包销,中信证券股份有限公司,北京京都会计师事务所有限责任公司,105.4744526,4.618117332,12.96625233,10.03552437,8.348134995,0,0,0,0
600369.SH,2001-01-09,6.18,70000000,0,17592100,0,余额包销,联合证券有限责任公司,珠海嘉信达会计师事务所,147.2491909,0,1.308900476,0,2.421465874,0,0,0,0
600370.SH,2003-03-06,7.62,55000000,0,22360000,481675,余额包销,兴业证券股份有限公司,江苏公证会计师事务所有限公司,48.29396325,-3.982300997,-2.566371679,-0.884955764,-2.920353889,0,0,0,0
600371.SH,2002-09-16,3.47,40000000,0,6966700,269033,余额包销,天同证券有限责任公司,武汉众环会计师事务所有限责任公司,358.2132565,-0.12578617,-0.817610085,5.283019066,12.45283031,0,0,0,0
600372.SH,2001-07-06,7.28,110000000,0,24359000,0,余额包销,中信证券股份有限公司,岳华会计师事务所有限责任公司,90.24725275,-2.888086557,-0.794223845,2.021660566,1.444043279,0,0,0,0
600373.SH,2002-03-04,2.68,45000000,0,7998000,0,余额包销,广发证券股份有限公司,广东恒信德律会计师事务所有限公司,311.5671642,9.247507095,8.340888023,25.29465103,20.67089844,0,0,0,0
600375.SH,2003-04-01,9.9,30000000,0,11910000,317561,余额包销,申万宏源证券有限公司,上海立信长江会计师事务所有限公司,163.6363636,-0.383141756,0.727969348,-10.61302662,-14.02298832,0,0,0,0
600376.SH,2001-03-12,10.4,40000000,0,13600000,0,余额包销,中信证券股份有限公司,岳华会计师事务所有限责任公司,178.8461538,3.758620739,7.931034565,14.79310322,20,0,0,0,0
600377.SH,2001-01-16,4.2,150000000,0,15500000,0,余额包销,华泰证券有限责任公司,安达信·华强会计师事务所,76.66666667,8.355794907,6.469002724,7.816711426,7.412398815,0,0,0,0
600378.SH,2001-01-11,6.58,45000000,0,12884000,0,余额包销,国信证券有限责任公司,安达信·华强会计师事务所,323.8601824,-10.32628155,-17.17461395,-12.51344585,-12.69272137,0,0,0,0
600379.SH,2002-01-16,2.76,50000000,0,6875800,0,余额包销,国泰君安证券股份有限公司,上海东华会计师事务所有限公司,305.0724638,-4.651162624,-8.855098724,2.593917608,4.114490032,0,0,0,0
600380.SH,2001-06-08,24.8,70000000,0,34496706,0,余额包销,国信证券有限责任公司,亚太集团会计师事务所有限公司,68.50806452,-5.360134125,-6.724096775,-8.542713165,-9.739171982,0,0,0,0
600381.SH,2001-05-08,5.68,35000000,0,11000000,0,余额包销,广东证券股份有限公司,深圳同人会计师事务所,293.1338028,2.552619696,5.597850323,3.896103859,4.746977329,0,0,0,0
600382.SH,2001-01-18,5.5,60000000,0,13040000,0,余额包销,广东证券股份有限公司,广东正中珠江会计师事务所有限公司,144.7272727,2.748885632,2.526002884,4.309063911,8.469539642,0,0,0,0
600383.SH,2001-04-12,9.42,90000000,0,20857800.34,0,余额包销,广发证券有限责任公司,深圳中天会计师事务所,185.5626327,6.691449642,-2.602230549,-3.234200716,-0.520446122,0,0,0,0
600385.SH,2001-07-23,0,33917500,0,0,0,0,0,0,0,-1.589958191,-15.62064171,-9.902371407,-11.8549509,0,0,0,0
600386.SH,2001-02-16,9.92,80000000,0,20508800,0,余额包销,南方证券有限公司,北京京都会计师事务所有限责任公司,46.37096774,3.787878752,4.132231236,6.060606003,6.336088181,0,0,0,0
600387.SH,2004-02-18,5.2,60000000,0,17095500.12,541458,余额包销,华夏证券股份有限公司,浙江天健会计师事务所,148.6538462,-11.60092831,-10.440835,-11.91028595,-9.976798058,0,0,0,0
600388.SH,2000-12-29,7.2,65000000,0,18658000,0,余额包销,兴业证券股份有限公司,厦门天健会计师事务所有限公司,217.3611111,0.612691462,-4.245076656,-10.06564522,-16.32385063,0,0,0,0
600389.SH,2001-01-10,7,40000000,0,13232749.34,0,余额包销,华泰证券有限责任公司,南通众信会计师事务所有限公司,206.2857143,0.279850751,-1.072761178,-0.233208954,-4.850746155,0,0,0,0
